Raw:17.10,13.96,-5.67,17.10,13.96,-5.67,17.10,13.96,-5.67
Raw:13.80,18.56,-4.14,13.80,18.56,-4.14,13.80,18.56,-4.14
Raw:14.95,22.47,0.38,14.95,22.47,0.38,14.95,22.47,0.38
Raw:-0.61,18.10,-1.07,-0.61,18.10,-1.07,-0.61,18.10,-1.07
Raw:-3.53,15.03,-0.31,-3.53,15.03,-0.31,-3.53,15.03,-0.31
Raw:-7.98,8.28,-5.98,-7.98,8.28,-5.98,-7.98,8.28,-5.98
Raw:-3.30,0.00,-6.29,-3.30,0.00,-6.29,-3.30,0.00,-6.29
Raw:-2.38,-2.68,1.76,-2.38,-2.68,1.76,-2.38,-2.68,1.76
Raw:0.00,-5.90,-2.61,0.00,-5.90,-2.61,0.00,-5.90,-2.61
Raw:-3.76,0.54,2.38,-3.76,0.54,2.38,-3.76,0.54,2.38
Raw:-4.52,6.44,16.33,-4.52,6.44,16.33,-4.52,6.44,16.33
Raw:-7.36,4.98,15.34,-7.36,4.98,15.34,-7.36,4.98,15.34
Raw:-8.74,6.37,22.01,-8.74,6.37,22.01,-8.74,6.37,22.01
Raw:-8.67,-0.38,11.43,-8.67,-0.38,11.43,-8.67,-0.38,11.43
Raw:-2.30,1.99,15.11,-2.30,1.99,15.11,-2.30,1.99,15.11
Raw:-2.30,-0.69,27.07,-2.30,-0.69,27.07,-2.30,-0.69,27.07
Raw:4.75,-9.89,31.37,4.75,-9.89,31.37,4.75,-9.89,31.37
Raw:2.07,-1.07,37.65,2.07,-1.07,37.65,2.07,-1.07,37.65
Raw:-7.98,15.87,19.40,-7.98,15.87,19.40,-7.98,15.87,19.40
Raw:-20.17,19.86,12.50,-20.17,19.86,12.50,-20.17,19.86,12.50
Raw:-18.48,-1.76,-11.50,-18.48,-1.76,-11.50,-18.48,-1.76,-11.50
Raw:-22.39,11.12,17.71,-22.39,11.12,17.71,-22.39,11.12,17.71
Raw:11.35,2.30,13.50,11.35,2.30,13.50,11.35,2.30,13.50
Raw:6.21,18.79,12.58,6.21,18.79,12.58,6.21,18.79,12.58
Raw:6.06,24.85,7.67,6.06,24.85,7.67,6.06,24.85,7.67
Raw:10.43,24.23,10.81,10.43,24.23,10.81,10.43,24.23,10.81
Raw:3.14,23.24,14.19,3.14,23.24,14.19,3.14,23.24,14.19
Raw:-2.53,19.10,13.57,-2.53,19.10,13.57,-2.53,19.10,13.57
Raw:0.46,14.57,7.52,0.46,14.57,7.52,0.46,14.57,7.52
Raw:0.61,18.18,12.42,0.61,18.18,12.42,0.61,18.18,12.42
Raw:-6.06,13.73,22.16,-6.06,13.73,22.16,-6.06,13.73,22.16
Raw:-23.93,13.42,26.69,-23.93,13.42,26.69,-23.93,13.42,26.69
Raw:-25.46,17.64,35.51,-25.46,17.64,35.51,-25.46,17.64,35.51
Raw:-25.38,11.73,39.11,-25.38,11.73,39.11,-25.38,11.73,39.11
Raw:-26.00,-7.06,39.11,-26.00,-7.06,39.11,-26.00,-7.06,39.11
Raw:-26.69,-18.48,-4.29,-26.69,-18.48,-4.29,-26.69,-18.48,-4.29
Raw:-4.37,-2.45,36.20,-4.37,-2.45,36.20,-4.37,-2.45,36.20
Raw:-5.14,2.22,39.11,-5.14,2.22,39.11,-5.14,2.22,39.11
Raw:6.29,-0.08,39.11,6.29,-0.08,39.11,6.29,-0.08,39.11
Raw:0.15,3.30,39.11,0.15,3.30,39.11,0.15,3.30,39.11
Raw:5.44,2.76,34.05,5.44,2.76,34.05,5.44,2.76,34.05
Raw:-27.53,29.37,3.83,-27.53,29.37,3.83,-27.53,29.37,3.83
Raw:-39.11,3.76,38.88,-39.11,3.76,38.88,-39.11,3.76,38.88
Raw:35.97,-12.96,39.11,35.97,-12.96,39.11,35.97,-12.96,39.11
Raw:-15.41,36.43,3.22,-15.41,36.43,3.22,-15.41,36.43,3.22
Raw:3.76,27.07,15.49,3.76,27.07,15.49,3.76,27.07,15.49
Raw:10.58,15.95,13.57,10.58,15.95,13.57,10.58,15.95,13.57
Raw:1.07,8.36,8.44,1.07,8.36,8.44,1.07,8.36,8.44
Raw:4.75,-0.38,9.82,4.75,-0.38,9.82,4.75,-0.38,9.82
Raw:-7.13,3.68,1.61,-7.13,3.68,1.61,-7.13,3.68,1.61
Raw:-11.27,3.99,-8.21,-11.27,3.99,-8.21,-11.27,3.99,-8.21
Raw:-2.76,1.30,-6.52,-2.76,1.30,-6.52,-2.76,1.30,-6.52
Raw:7.98,3.07,-2.76,7.98,3.07,-2.76,7.98,3.07,-2.76
Raw:15.80,4.91,12.65,15.80,4.91,12.65,15.80,4.91,12.65
Raw:7.21,18.71,7.82,7.21,18.71,7.82,7.21,18.71,7.82
Raw:7.52,17.41,17.56,7.52,17.41,17.56,7.52,17.41,17.56
